Feb,Mar,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,10,4,,,,,,2,10
,9,4,,,,,,3,2
,2,4,,,,,,2,2
,2,2,,,,,,2,2
,1,4,,,,,,3,10
,1,3,,,,,,2,13
,8,4,,,,,,3,2
,2,13,,,,,,2,2
,13,3,,,,,,13,2
,2,3,,,,,,13,11
,3,3,,,,,,1,10
,1,2,,,,,,8,13
,2,3,,,,,,2,2
,1,4,,,,,,1,2
,2,3,,,,,,2,3
,2,3,,,,,,2,2
,2,6,,,,,,10,1
,1,3,,,,,,2,8
,2,4,,,,,,2,3
,8,3,,,,,,2,2
,8,11,,,,,,10,2
,2,20,,,,,,8,1
,1,3,,,,,,1,3
,10,5,,,,,,2,2
,10,1,,,,,,2,2
,1,6,,,,,,3,2
,2,3,,,,,,2,2
,3,6,,,,,,10,1
,10,1,,,,,,2,2
,3,19,,,,,,2,2
,2,20,,,,,,2,1
,1,4,,,,,,13,2
,10,3,,,,,,2,3
,1,2,,,,,,2,3
,2,2,,,,,,2,1
,2,1,,,,,,3,11
,1,2,,,,,,10,1
,13,2,,,,,,1,2
,1,4,,,,,,2,13
,8,1,,,,,,3,2
,1,2,,,,,,2,1
,1,2,,,,,,2,8
,1,4,,,,,,2,3
,3,4,,,,,,1,2
,2,6,,,,,,11,3
,2,13,,,,,,3,2
,1,1,,,,,,2,2
,1,3,,,,,,3,8
,2,2,,,,,,8,1
,1,3,,,,,,10,2
,1,3,,,,,,6,1
,2,3,,,,,,13,1
,1,13,,,,,,3,13
,1,1,,,,,,8,2
,1,6,,,,,,2,1
,2,4,,,,,,1,1
,1,1,,,,,,2,2
,3,4,,,,,,2,1
,11,3,,,,,,3,1
,1,2,,,,,,2,1
,1,13,,,,,,1,13
,1,4,,,,,,2,8
,1,6,,,,,,1,1
,3,6,,,,,,10,3
,2,13,,,,,,2,2
,8,3,,,,,,8,3
,1,1,,,,,,2,20
,2,13,,,,,,10,2
,9,6,,,,,,2,2
,3,4,,,,,,2,10
,10,2,,,,,,6,2
,8,14,,,,,,2,2
,1,1,,,,,,2,10
,1,4,,,,,,10,1
,2,4,,,,,,10,2
,2,6,,,,,,1,2
,2,3,,,,,,2,1
,1,1,,,,,,3,2
,6,2,,,,,,2,2
,2,2,,,,,,2,2
,2,1,,,,,,8,2
,1,2,,,,,,2,2
,10,6,,,,,,3,2
,1,2,,,,,,2,13
,2,4,,,,,,2,1
,2,4,,,,,,2,1
,1,1,,,,,,10,1
,3,3,,,,,,2,20
,2,16,,,,,,1,7
,3,4,,,,,,2,2
,10,2,,,,,,1,2
,10,11,,,,,,2,2
,1,4,,,,,,1,2
,2,13,,,,,,3,2
,10,4,,,,,,2,1
,2,2,,,,,,1,3
,2,4,,,,,,1,1
,3,1,,,,,,3,10
,8,5,,,,,,3,10
,3,4,,,,,,2,2
,10,2,,,,,,13,10
,2,3,,,,,,2,2
,2,14,,,,,,1,1
,2,3,,,,,,2,2
,1,4,,,,,,1,13
,1,2,,,,,,2,2
,9,1,,,,,,2,3
,2,4,,,,,,20,2
,1,2,,,,,,3,2
,3,19,,,,,,3,13
,8,4,,,,,,10,1
,1,1,,,,,,1,2
,1,1,,,,,,1,2
,1,3,,,,,,10,2
,10,4,,,,,,11,1
,10,3,,,,,,2,10
,2,3,,,,,,3,2
,3,3,,,,,,13,13
,1,3,,,,,,10,8
,3,4,,,,,,11,13
,10,2,,,,,,2,8
,3,2,,,,,,2,1
,3,3,,,,,,11,2
,2,4,,,,,,2,1
,3,13,,,,,,7,2
,2,4,,,,,,2,2
,1,3,,,,,,10,8
,1,2,,,,,,1,20
,1,13,,,,,,2,2
,1,1,,,,,,2,1
,2,6,,,,,,8,1
,9,13,,,,,,1,10
,2,3,,,,,,2,2
,2,4,,,,,,1,2
,1,13,,,,,,3,2
,1,2,,,,,,1,8
,2,13,,,,,,6,2
,2,13,,,,,,2,2
,2,4,,,,,,2,6
,1,3,,,,,,2,20
,8,2,,,,,,1,20
,2,2,,,,,,10,2
,1,2,,,,,,10,1
,2,13,,,,,,2,2
,1,4,,,,,,2,2
,3,2,,,,,,2,2
,3,4,,,,,,6,1
,3,2,,,,,,20,1
,1,2,,,,,,2,2
,6,1,,,,,,13,2
,1,13,,,,,,8,2
,2,4,,,,,,3,1
,2,2,,,,,,2,2
,3,2,,,,,,8,2
,9,1,,,,,,1,20
,2,6,,,,,,2,2
,3,2,,,,,,3,3
,1,4,,,,,,3,2
,1,3,,,,,,11,1
,1,4,,,,,,1,2
,1,3,,,,,,1,3
,2,1,,,,,,11,2
,10,6,,,,,,13,1
,2,6,,,,,,3,1
,10,11,,,,,,2,10
,11,1,,,,,,1,13
,1,2,,,,,,3,2
,1,4,,,,,,8,2
,3,2,,,,,,10,1
,1,1,,,,,,2,2
,2,3,,,,,,10,2
,3,3,,,,,,10,2
,2,2,,,,,,2,10
,1,1,,,,,,2,2
,11,11,,,,,,2,1
,10,13,,,,,,2,2
,11,4,,,,,,2,1
,1,6,,,,,,3,1
,1,4,,,,,,10,2
,3,2,,,,,,3,2
,8,3,,,,,,11,2
,3,2,,,,,,2,2
,8,6,,,,,,10,2
,3,1,,,,,,10,2
,1,2,,,,,,2,3
,1,6,,,,,,3,3
,10,4,,,,,,1,1
,3,2,,,,,,6,2
,1,2,,,,,,1,2
,1,2,,,,,,2,8
,8,1,,,,,,13,2
,10,1,,,,,,13,6
,2,3,,,,,,2,6
,1,1,,,,,,3,1
,9,2,,,,,,2,8
,1,4,,,,,,3,2
,3,4,,,,,,10,2
,2,4,,,,,,3,1
,13,2,,,,,,1,2
,10,2,,,,,,3,1
,1,6,,,,,,2,3
,1,1,,,,,,3,20
,3,3,,,,,,2,1
,2,3,,,,,,2,1
,1,4,,,,,,13,1
,2,2,,,,,,1,1
,3,2,,,,,,2,1
,2,3,,,,,,3,6
,1,1,,,,,,8,8
,2,5,,,,,,8,10
,2,4,,,,,,2,20
,2,4,,,,,,2,11
,10,2,,,,,,8,2
,1,3,,,,,,1,1
,2,2,,,,,,8,10
,3,1,,,,,,11,3
,10,5,,,,,,13,1
,2,3,,,,,,2,6
,1,6,,,,,,2,3
,9,1,,,,,,2,3
,1,4,,,,,,13,2
,1,4,,,,,,2,2
,3,5,,,,,,3,10
,2,2,,,,,,11,2
,3,11,,,,,,2,8
,1,3,,,,,,1,2
,1,1,,,,,,2,2
,2,6,,,,,,2,2
,2,6,,,,,,2,1
,6,6,,,,,,2,2
,10,13,,,,,,2,2
,3,13,,,,,,3,1
,1,1,,,,,,2,1
,3,4,,,,,,13,2
,3,3,,,,,,7,1
,1,13,,,,,,8,1
,1,2,,,,,,3,10
,3,3,,,,,,2,2
,1,3,,,,,,2,2
,6,6,,,,,,11,2
,3,6,,,,,,20,2
,1,4,,,,,,3,2
,10,3,,,,,,1,2
,3,1,,,,,,1,1
,10,2,,,,,,8,3
,3,1,,,,,,3,1
,2,3,,,,,,2,2
,1,1,,,,,,2,10
,1,15,,,,,,1,1
,11,1,,,,,,2,8
,2,13,,,,,,2,1
,1,3,,,,,,10,3
,2,2,,,,,,3,3
,1,1,,,,,,8,1
,1,4,,,,,,2,1
,2,2,,,,,,2,20
,11,13,,,,,,2,10
,8,6,,,,,,3,1
,1,6,,,,,,2,8
,1,3,,,,,,3,10
,2,3,,,,,,2,2
,3,3,,,,,,2,10
,3,3,,,,,,3,2
,1,3,,,,,,3,2
,3,4,,,,,,1,8
,3,3,,,,,,10,8
,2,13,,,,,,2,2
,10,1,,,,,,2,2
,1,1,,,,,,2,2
,1,4,,,,,,1,2
,1,2,,,,,,2,3
,2,5,,,,,,2,2
,2,1,,,,,,10,2
,2,4,,,,,,11,3
,10,1,,,,,,10,11
,3,1,,,,,,2,2
,2,1,,,,,,2,2
,1,1,,,,,,3,3
,10,6,,,,,,2,1
,2,2,,,,,,10,13
,1,1,,,,,,2,2
,3,1,,,,,,3,8
,2,4,,,,,,2,2
,10,5,,,,,,11,20
,1,2,,,,,,2,2
,1,3,,,,,,1,2
,2,13,,,,,,1,2
,2,2,,,,,,1,2
,9,2,,,,,,2,8
,1,11,,,,,,2,3
,10,4,,,,,,1,2
,2,3,,,,,,3,13
,2,1,,,,,,2,3
,2,2,,,,,,2,2
,1,3,,,,,,15,2
,2,2,,,,,,11,2
,1,3,,,,,,2,6
,2,2,,,,,,2,10
,1,3,,,,,,6,20
,6,5,,,,,,2,1
,3,13,,,,,,2,1
,2,3,,,,,,2,1
,8,4,,,,,,2,8
,1,6,,,,,,2,2
,1,3,,,,,,2,1
,6,5,,,,,,6,20
,1,2,,,,,,1,2
,13,4,,,,,,1,1
,1,2,,,,,,2,3
,2,2,,,,,,11,1
,1,3,,,,,,1,8
,1,4,,,,,,2,1
,3,4,,,,,,10,2
,9,2,,,,,,1,10
,1,1,,,,,,3,2
,9,3,,,,,,1,13
,1,4,,,,,,13,20
,1,2,,,,,,2,8
,2,5,,,,,,13,3
,3,13,,,,,,2,2
,10,3,,,,,,2,2
,9,1,,,,,,1,1
,2,1,,,,,,1,6
,1,3,,,,,,8,1
,1,2,,,,,,13,2
,2,13,,,,,,10,2
,3,3,,,,,,1,10
,2,3,,,,,,10,1
,10,11,,,,,,13,2
,10,11,,,,,,10,2
,3,1,,,,,,8,2
,1,2,,,,,,2,2
,2,4,,,,,,8,2
,10,3,,,,,,2,8
,2,4,,,,,,2,10
,2,2,,,,,,13,8
,2,2,,,,,,2,2
,1,3,,,,,,11,2
,2,4,,,,,,2,2
,2,3,,,,,,11,2
,10,13,,,,,,1,1
,2,1,,,,,,1,2
,1,11,,,,,,2,2
,8,4,,,,,,20,2
,1,1,,,,,,2,20
,2,4,,,,,,3,8
,1,3,,,,,,1,2
,2,2,,,,,,8,1
,1,2,,,,,,2,6
,8,13,,,,,,2,2
,6,3,,,,,,11,1
,8,3,,,,,,2,2
,2,1,,,,,,11,3
,2,1,,,,,,10,10
,2,13,,,,,,2,10
,3,2,,,,,,2,2
,2,3,,,,,,2,10
,2,4,,,,,,8,3
,1,4,,,,,,2,2
,8,2,,,,,,13,2
,1,3,,,,,,3,2
,8,2,,,,,,2,1
,2,3,,,,,,1,2
,2,2,,,,,,2,2
,1,2,,,,,,3,1
,1,13,,,,,,2,1
,3,3,,,,,,2,10
,3,4,,,,,,2,3
,2,5,,,,,,2,2
,2,2,,,,,,13,1
,2,6,,,,,,2,1
,3,11,,,,,,1,10
,2,13,,,,,,8,1
,2,13,,,,,,3,2
,1,2,,,,,,2,1
,3,3,,,,,,13,2
,3,2,,,,,,2,2
,7,2,,,,,,2,10
,2,6,,,,,,2,1
,10,4,,,,,,2,2
,2,3,,,,,,13,8
,2,2,,,,,,2,2
,2,1,,,,,,6,2
,3,4,,,,,,2,2
,2,4,,,,,,3,8
,2,3,,,,,,10,1
,1,3,,,,,,10,6
,2,6,,,,,,13,2
,1,3,,,,,,10,2
,2,3,,,,,,1,8
,1,3,,,,,,2,2
,3,15,,,,,,3,2
,2,3,,,,,,2,3
,1,4,,,,,,15,20
,8,6,,,,,,2,1
,3,11,,,,,,1,2
,1,6,,,,,,2,2
,2,1,,,,,,13,1
,3,13,,,,,,2,10
,3,2,,,,,,2,1
,1,2,,,,,,10,1
,1,2,,,,,,13,2
,2,2,,,,,,2,2
,3,3,,,,,,10,13
,3,15,,,,,,2,10
,3,13,,,,,,10,6
,1,2,,,,,,8,2
,1,4,,,,,,2,1
,1,4,,,,,,2,2
,3,3,,,,,,1,1
,1,13,,,,,,2,3
,1,3,,,,,,1,1
,10,4,,,,,,1,2
,1,11,,,,,,2,1
,10,19,,,,,,3,2
,1,6,,,,,,3,10
,9,2,,,,,,2,1
,10,3,,,,,,2,1
,10,3,,,,,,13,2
,2,4,,,,,,8,8
,1,13,,,,,,8,3
,1,3,,,,,,6,1
,1,4,,,,,,11,1
,1,1,,,,,,2,3
,2,6,,,,,,10,1
,1,2,,,,,,3,1
,1,2,,,,,,6,2
,1,2,,,,,,2,2
,11,4,,,,,,3,10
,2,13,,,,,,2,2
,10,3,,,,,,6,2
,1,4,,,,,,2,2
,1,4,,,,,,10,2
,1,4,,,,,,8,1
,2,13,,,,,,1,2
,2,3,,,,,,10,1
,1,13,,,,,,11,1
,2,3,,,,,,2,2
,3,3,,,,,,8,2
,1,3,,,,,,8,2
,1,4,,,,,,13,2
,2,3,,,,,,13,2
,8,4,,,,,,2,2
,1,4,,,,,,1,10
,2,2,,,,,,3,1
,3,2,,,,,,13,20
,1,4,,,,,,13,2
,10,2,,,,,,1,1
,3,1,,,,,,1,2
,1,4,,,,,,1,1
,3,2,,,,,,1,2
,2,2,,,,,,2,6
,1,3,,,,,,3,2
,1,13,,,,,,2,2
,1,3,,,,,,2,2
,2,1,,,,,,2,10
,1,3,,,,,,1,2
,10,4,,,,,,2,2
,10,3,,,,,,2,2
,2,5,,,,,,2,3
,1,4,,,,,,2,13
,1,5,,,,,,20,3
,2,5,,,,,,3,2
,2,1,,,,,,13,1
,2,2,,,,,,3,1
,1,4,,,,,,2,2
,1,6,,,,,,3,8
,1,6,,,,,,8,8
,3,2,,,,,,13,1
,1,1,,,,,,2,20
,1,4,,,,,,10,2
,1,2,,,,,,3,1
,2,1,,,,,,10,2
,1,2,,,,,,3,2
,2,2,,,,,,2,2
,8,6,,,,,,11,20
,6,13,,,,,,2,2
,10,2,,,,,,10,2
,1,1,,,,,,2,2
,2,4,,,,,,3,8
,3,13,,,,,,13,2
,1,3,,,,,,3,13
,2,2,,,,,,8,1
,2,1,,,,,,2,3
,8,1,,,,,,10,1
,3,3,,,,,,2,2
,3,4,,,,,,2,3
,2,3,,,,,,6,1
,3,4,,,,,,10,2
,8,3,,,,,,2,2
,2,4,,,,,,2,2
,2,2,,,,,,3,1
,3,3,,,,,,2,8
,3,2,,,,,,3,20
,2,2,,,,,,2,1
,2,4,,,,,,2,3
,8,4,,,,,,1,2
,10,1,,,,,,6,8
,2,3,,,,,,2,2
,3,4,,,,,,2,13
,2,6,,,,,,2,1
,10,2,,,,,,1,2
,1,6,,,,,,3,8
,10,6,,,,,,2,1
,3,3,,,,,,2,2
,3,1,,,,,,1,20
,3,4,,,,,,10,1
,1,5,,,,,,1,3
,3,4,,,,,,3,1
,1,3,,,,,,8,2
,6,4,,,,,,2,2
,1,13,,,,,,8,8
,2,4,,,,,,10,2
,3,2,,,,,,2,1
,2,2,,,,,,8,8
,2,4,,,,,,13,2
,2,4,,,,,,2,1
,1,6,,,,,,2,2
,2,3,,,,,,2,3
,1,3,,,,,,13,2
,10,3,,,,,,1,8
,1,2,,,,,,3,2
,1,4,,,,,,3,1
,8,4,,,,,,2,2
,1,11,,,,,,1,2
,3,2,,,,,,1,2
,1,3,,,,,,2,1
,1,1,,,,,,11,1
,1,3,,,,,,1,8
,2,1,,,,,,1,2
,3,1,,,,,,3,6
,1,2,,,,,,3,2
,1,3,,,,,,1,2
,11,1,,,,,,2,1
,1,4,,,,,,3,1
,10,3,,,,,,2,2
,3,13,,,,,,2,7
,2,6,,,,,,2,1
,2,13,,,,,,2,2
,2,13,,,,,,2,2
,3,4,,,,,,2,1
,1,6,,,,,,10,2
,1,2,,,,,,2,1
,1,3,,,,,,1,3
,1,2,,,,,,1,6
,6,6,,,,,,3,3
,1,3,,,,,,2,1
,3,2,,,,,,10,2
,2,1,,,,,,3,3
,2,13,,,,,,2,2
,1,4,,,,,,2,2
,1,3,,,,,,3,2
,2,2,,,,,,13,2
,1,2,,,,,,2,8
,8,2,,,,,,3,11
,1,11,,,,,,2,2
,10,4,,,,,,2,1
,2,11,,,,,,2,2
,2,2,,,,,,2,11
,2,13,,,,,,2,11
,1,2,,,,,,1,1
,1,6,,,,,,2,8
,2,6,,,,,,11,2
,1,4,,,,,,10,8
,9,1,,,,,,2,2
,10,1,,,,,,2,10
,2,2,,,,,,1,2
,2,6,,,,,,2,2
,2,4,,,,,,2,1
,3,4,,,,,,3,1
,1,4,,,,,,2,2
,6,5,,,,,,8,2
,1,2,,,,,,2,6
,1,1,,,,,,1,2
,1,2,,,,,,13,2
,13,2,,,,,,3,2
,8,4,,,,,,2,8
,1,1,,,,,,2,10
,10,11,,,,,,1,2
,10,3,,,,,,13,8
,1,4,,,,,,2,1
,2,3,,,,,,2,10
,2,13,,,,,,1,2
,2,6,,,,,,10,3
,8,3,,,,,,2,2
,2,3,,,,,,11,1
,3,4,,,,,,2,3
,3,4,,,,,,2,2
,1,4,,,,,,13,2
,6,3,,,,,,3,20
,2,5,,,,,,2,7
,3,2,,,,,,3,3
,3,2,,,,,,2,6
,2,2,,,,,,2,2
,2,4,,,,,,2,13
,1,2,,,,,,3,20
,2,11,,,,,,6,1
,1,4,,,,,,8,1
,3,4,,,,,,1,2
,1,2,,,,,,2,2
,1,4,,,,,,3,1
,1,3,,,,,,1,10
,10,13,,,,,,1,2
,10,13,,,,,,2,1
,3,3,,,,,,2,8
,1,3,,,,,,2,2
,8,2,,,,,,2,1
,2,4,,,,,,10,2
,6,4,,,,,,2,2
,2,2,,,,,,3,2
,2,15,,,,,,2,2
,1,4,,,,,,10,2
,3,4,,,,,,2,3
,1,6,,,,,,10,2
,1,3,,,,,,8,2
,1,13,,,,,,3,10
,1,3,,,,,,3,2
,3,4,,,,,,13,20
,1,2,,,,,,1,2
,8,13,,,,,,3,3
,3,4,,,,,,13,1
,1,1,,,,,,2,20
,1,4,,,,,,2,2
,1,4,,,,,,13,20
,2,2,,,,,,10,2
,2,2,,,,,,3,10
,2,2,,,,,,2,1
,1,4,,,,,,2,1
,1,2,,,,,,13,1
,10,4,,,,,,2,20
,6,13,,,,,,2,2
,2,3,,,,,,8,3
,2,6,,,,,,2,3
,2,4,,,,,,13,2
,1,3,,,,,,1,3
,1,4,,,,,,1,1
,1,3,,,,,,2,1
,3,3,,,,,,2,2
,8,1,,,,,,3,6
,1,1,,,,,,13,1
,1,3,,,,,,10,2
,3,4,,,,,,10,2
,11,6,,,,,,11,2
,2,4,,,,,,3,2
,1,2,,,,,,11,2
,3,3,,,,,,11,11
,2,1,,,,,,2,10
,13,4,,,,,,7,2
,2,3,,,,,,2,1
,1,2,,,,,,11,7
,2,2,,,,,,2,2
,2,6,,,,,,11,3
,8,3,,,,,,2,3
,2,2,,,,,,2,1
,2,3,,,,,,2,20
,1,4,,,,,,2,1
,3,2,,,,,,13,2
,2,4,,,,,,2,2
,8,3,,,,,,1,2
,1,2,,,,,,13,2
,1,13,,,,,,2,10
,6,2,,,,,,8,1
,1,5,,,,,,13,2
,1,13,,,,,,2,1
,2,4,,,,,,2,10
,8,4,,,,,,2,13
,10,4,,,,,,1,1
,1,3,,,,,,10,7
,1,3,,,,,,1,2
,1,1,,,,,,2,1
,2,3,,,,,,2,2
,2,1,,,,,,3,1
,8,3,,,,,,13,2
,2,2,,,,,,1,3
,1,2,,,,,,2,13
,13,2,,,,,,2,2
,3,2,,,,,,1,2
,7,2,,,,,,2,2
,2,4,,,,,,2,2
,3,3,,,,,,20,1
,2,2,,,,,,1,10
,1,2,,,,,,2,2
,2,1,,,,,,8,2
,10,3,,,,,,2,1
,3,1,,,,,,2,3
,13,13,,,,,,13,2
,1,11,,,,,,2,1
,2,1,,,,,,1,10
,1,13,,,,,,2,2
,2,2,,,,,,3,2
,10,6,,,,,,2,2
,10,3,,,,,,10,2
,3,13,,,,,,10,1
,1,1,,,,,,13,2
,1,6,,,,,,2,20
,1,4,,,,,,3,20
,3,2,,,,,,2,2
,3,1,,,,,,1,2
,3,2,,,,,,10,10
,13,3,,,,,,2,10
,1,3,,,,,,1,13
,10,13,,,,,,2,2
,3,2,,,,,,2,2
,1,6,,,,,,6,2
,2,1,,,,,,3,2
,2,4,,,,,,8,1
,2,2,,,,,,2,20
,2,6,,,,,,13,2
,2,4,,,,,,2,3
,2,13,,,,,,2,1
,10,13,,,,,,2,11
,1,2,,,,,,6,1
,2,2,,,,,,1,8
,2,1,,,,,,10,2
,2,4,,,,,,13,1
,3,13,,,,,,2,8
,1,3,,,,,,2,2
,1,7,,,,,,2,2
,2,2,,,,,,1,2
,1,13,,,,,,13,10
,1,1,,,,,,2,2
,3,4,,,,,,20,2
,1,2,,,,,,8,10
,1,4,,,,,,2,2
,2,6,,,,,,2,8
,2,2,,,,,,10,10
,2,4,,,,,,3,13
,1,4,,,,,,2,6
,1,3,,,,,,1,6
,1,1,,,,,,2,2
,2,4,,,,,,2,2
,2,2,,,,,,8,1
,2,3,,,,,,2,2
,2,4,,,,,,2,2
,1,13,,,,,,13,2
,2,5,,,,,,2,2
,2,4,,,,,,2,3
,1,4,,,,,,2,6
,2,3,,,,,,2,3
,1,6,,,,,,3,3
,2,4,,,,,,2,3
,10,5,,,,,,2,20
,3,3,,,,,,3,10
,10,4,,,,,,2,2
,3,3,,,,,,11,1
,8,1,,,,,,1,13
,1,2,,,,,,2,2
,2,11,,,,,,1,1
,1,2,,,,,,1,2
,2,4,,,,,,13,2
,1,3,,,,,,2,1
,1,13,,,,,,11,2
,2,13,,,,,,10,20
,9,11,,,,,,2,2
,1,4,,,,,,2,2
,3,4,,,,,,1,2
,1,13,,,,,,8,2
,2,6,,,,,,3,1
,2,1,,,,,,6,8
,10,2,,,,,,2,13
,1,4,,,,,,20,1
,3,6,,,,,,8,13
,3,2,,,,,,2,2
,10,2,,,,,,2,2
,1,2,,,,,,3,1
,2,4,,,,,,11,20
,2,2,,,,,,2,1
,1,1,,,,,,8,8
,1,2,,,,,,1,2
,1,2,,,,,,2,2
,1,4,,,,,,13,20
,1,4,,,,,,10,1
,1,5,,,,,,2,1
,3,13,,,,,,1,1
,3,3,,,,,,10,10
,3,13,,,,,,2,1
,6,3,,,,,,3,2
,1,2,,,,,,2,1
,8,1,,,,,,10,8
,8,2,,,,,,3,1
,1,4,,,,,,3,8
,2,3,,,,,,2,11
,3,6,,,,,,6,2
,2,2,,,,,,2,3
,1,5,,,,,,2,2
,1,6,,,,,,3,20
,13,2,,,,,,2,8
,1,1,,,,,,3,2
,1,2,,,,,,2,8
,1,3,,,,,,2,2
,1,5,,,,,,2,3
,1,3,,,,,,1,1
,3,6,,,,,,2,2
,3,3,,,,,,2,20
,1,3,,,,,,2,1
,3,13,,,,,,13,1
,3,4,,,,,,2,2
,1,3,,,,,,11,2
,9,13,,,,,,2,2
,10,13,,,,,,8,2
,1,4,,,,,,2,2
,11,1,,,,,,1,2
,3,2,,,,,,2,20
,1,4,,,,,,2,1
,2,13,,,,,,2,10
,1,4,,,,,,10,2
,3,3,,,,,,1,2
,6,4,,,,,,3,2
,10,1,,,,,,2,20
,2,2,,,,,,2,3
,1,3,,,,,,2,2
,1,6,,,,,,10,2
,1,13,,,,,,8,2
,1,6,,,,,,1,1
,3,3,,,,,,2,2
,2,4,,,,,,2,2
,1,2,,,,,,3,3
,2,2,,,,,,10,2
